Year,State,Metric,Age Range,"Events per 1,000 women"
2010,MT,Abortion Rate,35-39,6
2011,MT,Abortion Rate,35-39,5.5
2012,MT,Abortion Rate,35-39,5.5999999999999996
2013,MT,Abortion Rate,35-39,5.5999999999999996
2014,MT,Abortion Rate,35-39,4.2999999999999998
2015,MT,Abortion Rate,35-39,4.5999999999999996
2016,MT,Abortion Rate,35-39,5.2999999999999998
1988,NE,Abortion Rate,35-39,5.5
1992,NE,Abortion Rate,35-39,4.9000000000000004
1996,NE,Abortion Rate,35-39,4.7000000000000002
2000,NE,Abortion Rate,35-39,5.0999999999999996
2005,NE,Abortion Rate,35-39,4.7999999999999998
2006,NE,Abortion Rate,35-39,4
2007,NE,Abortion Rate,35-39,4.2000000000000002
2008,NE,Abortion Rate,35-39,4.5999999999999996
2009,NE,Abortion Rate,35-39,3.8999999999999999
2010,NE,Abortion Rate,35-39,4
2011,NE,Abortion Rate,35-39,3.8999999999999999
2012,NE,Abortion Rate,35-39,4.2999999999999998
2013,NE,Abortion Rate,35-39,3.6000000000000001
2014,NE,Abortion Rate,35-39,4.0999999999999996
2015,NE,Abortion Rate,35-39,4.4000000000000004
2016,NE,Abortion Rate,35-39,3.8999999999999999
1988,NV,Abortion Rate,35-39,15.9
1992,NV,Abortion Rate,35-39,20
1996,NV,Abortion Rate,35-39,20.899999999999999
2000,NV,Abortion Rate,35-39,16.800000000000001
2005,NV,Abortion Rate,35-39,14.699999999999999
2006,NV,Abortion Rate,35-39,14.5
2007,NV,Abortion Rate,35-39,14.800000000000001
2008,NV,Abortion Rate,35-39,13.199999999999999
2009,NV,Abortion Rate,35-39,14.1
2010,NV,Abortion Rate,35-39,13.5
2011,NV,Abortion Rate,35-39,12.699999999999999
2012,NV,Abortion Rate,35-39,11.800000000000001
2013,NV,Abortion Rate,35-39,11.4
2014,NV,Abortion Rate,35-39,10.699999999999999
2015,NV,Abortion Rate,35-39,11.5
2016,NV,Abortion Rate,35-39,11
1988,NH,Abortion Rate,35-39,7
1992,NH,Abortion Rate,35-39,7.2000000000000002
1996,NH,Abortion Rate,35-39,8
2000,NH,Abortion Rate,35-39,7.0999999999999996
2005,NH,Abortion Rate,35-39,6.5
2006,NH,Abortion Rate,35-39,6.2000000000000002
2007,NH,Abortion Rate,35-39,6.2000000000000002
2008,NH,Abortion Rate,35-39,6
2009,NH,Abortion Rate,35-39,6.0999999999999996
2010,NH,Abortion Rate,35-39,6.4000000000000004
2011,NH,Abortion Rate,35-39,6.4000000000000004
2012,NH,Abortion Rate,35-39,6
2013,NH,Abortion Rate,35-39,6.2000000000000002
2014,NH,Abortion Rate,35-39,6.5
2015,NH,Abortion Rate,35-39,7
2016,NH,Abortion Rate,35-39,6
1988,NJ,Abortion Rate,35-39,13.199999999999999
1992,NJ,Abortion Rate,35-39,11.5
1996,NJ,Abortion Rate,35-39,13.800000000000001
2000,NJ,Abortion Rate,35-39,14.9
2005,NJ,Abortion Rate,35-39,15.6
2006,NJ,Abortion Rate,35-39,15.300000000000001
2007,NJ,Abortion Rate,35-39,16.399999999999999
2008,NJ,Abortion Rate,35-39,15.699999999999999
2009,NJ,Abortion Rate,35-39,15.9
2010,NJ,Abortion Rate,35-39,15.300000000000001
2011,NJ,Abortion Rate,35-39,14.800000000000001
2012,NJ,Abortion Rate,35-39,15.300000000000001
2013,NJ,Abortion Rate,35-39,14.800000000000001
2014,NJ,Abortion Rate,35-39,16.699999999999999
2015,NJ,Abortion Rate,35-39,16.600000000000001
2016,NJ,Abortion Rate,35-39,17.399999999999999
1988,NM,Abortion Rate,35-39,10
1992,NM,Abortion Rate,35-39,9.5
1996,NM,Abortion Rate,35-39,7.0999999999999996
2000,NM,Abortion Rate,35-39,7.5
2005,NM,Abortion Rate,35-39,7.5
2006,NM,Abortion Rate,35-39,7.4000000000000004
2007,NM,Abortion Rate,35-39,8.8000000000000007
2008,NM,Abortion Rate,35-39,7.4000000000000004
2009,NM,Abortion Rate,35-39,7.4000000000000004
2010,NM,Abortion Rate,35-39,7.5
2011,NM,Abortion Rate,35-39,6.9000000000000004
2012,NM,Abortion Rate,35-39,6.4000000000000004
2013,NM,Abortion Rate,35-39,5.5
2014,NM,Abortion Rate,35-39,5.5
2015,NM,Abortion Rate,35-39,5.4000000000000004
2016,NM,Abortion Rate,35-39,6.2999999999999998
1988,NY,Abortion Rate,35-39,16.399999999999999
1992,NY,Abortion Rate,35-39,19.600000000000001
1996,NY,Abortion Rate,35-39,18.199999999999999
2000,NY,Abortion Rate,35-39,19.399999999999999
2005,NY,Abortion Rate,35-39,20.100000000000001
2006,NY,Abortion Rate,35-39,19.399999999999999
2007,NY,Abortion Rate,35-39,19.300000000000001
2008,NY,Abortion Rate,35-39,20.399999999999999
2009,NY,Abortion Rate,35-39,19.800000000000001
2010,NY,Abortion Rate,35-39,19.699999999999999
2011,NY,Abortion Rate,35-39,20.199999999999999
2012,NY,Abortion Rate,35-39,19.399999999999999
2013,NY,Abortion Rate,35-39,18.100000000000001
2014,NY,Abortion Rate,35-39,19.199999999999999
2015,NY,Abortion Rate,35-39,19.300000000000001
2016,NY,Abortion Rate,35-39,18.800000000000001
1988,NC,Abortion Rate,35-39,7.2999999999999998
1992,NC,Abortion Rate,35-39,7.2000000000000002
1996,NC,Abortion Rate,35-39,6.7999999999999998
2000,NC,Abortion Rate,35-39,7.2999999999999998
2005,NC,Abortion Rate,35-39,7.5
2006,NC,Abortion Rate,35-39,7.4000000000000004
2007,NC,Abortion Rate,35-39,7.5999999999999996
2008,NC,Abortion Rate,35-39,7.4000000000000004
2009,NC,Abortion Rate,35-39,6.9000000000000004
2010,NC,Abortion Rate,35-39,7.2000000000000002
2011,NC,Abortion Rate,35-39,6.9000000000000004
2012,NC,Abortion Rate,35-39,7.2000000000000002
2013,NC,Abortion Rate,35-39,7.7999999999999998
2014,NC,Abortion Rate,35-39,7.5999999999999996
2015,NC,Abortion Rate,35-39,7.7000000000000002
2016,NC,Abortion Rate,35-39,7.0999999999999996
1988,ND,Abortion Rate,35-39,3.8999999999999999
1992,ND,Abortion Rate,35-39,3.2000000000000002
1996,ND,Abortion Rate,35-39,3.3999999999999999
2000,ND,Abortion Rate,35-39,3.8999999999999999
2005,ND,Abortion Rate,35-39,3.6000000000000001
2006,ND,Abortion Rate,35-39,3.8999999999999999
2007,ND,Abortion Rate,35-39,3.6000000000000001
2008,ND,Abortion Rate,35-39,4.2000000000000002
2009,ND,Abortion Rate,35-39,3.7000000000000002
2010,ND,Abortion Rate,35-39,3.3999999999999999
2011,ND,Abortion Rate,35-39,3.7000000000000002
2012,ND,Abortion Rate,35-39,3.2999999999999998
2013,ND,Abortion Rate,35-39,3.7999999999999998
2014,ND,Abortion Rate,35-39,4.5
2015,ND,Abortion Rate,35-39,4.9000000000000004
2016,ND,Abortion Rate,35-39,4.2999999999999998
1988,OH,Abortion Rate,35-39,7
1992,OH,Abortion Rate,35-39,7.5
1996,OH,Abortion Rate,35-39,7.2999999999999998
2000,OH,Abortion Rate,35-39,6.5999999999999996
2005,OH,Abortion Rate,35-39,6.7999999999999998
2006,OH,Abortion Rate,35-39,7.0999999999999996
2007,OH,Abortion Rate,35-39,7
2008,OH,Abortion Rate,35-39,6.5
2009,OH,Abortion Rate,35-39,7
2010,OH,Abortion Rate,35-39,6.5
2011,OH,Abortion Rate,35-39,6.4000000000000004
2012,OH,Abortion Rate,35-39,6.5999999999999996
2013,OH,Abortion Rate,35-39,6
2014,OH,Abortion Rate,35-39,6.2999999999999998
2015,OH,Abortion Rate,35-39,5.7999999999999998
2016,OH,Abortion Rate,35-39,5.5999999999999996
1988,OK,Abortion Rate,35-39,6.5
1992,OK,Abortion Rate,35-39,5.2999999999999998
1996,OK,Abortion Rate,35-39,5
2000,OK,Abortion Rate,35-39,4.7999999999999998
2005,OK,Abortion Rate,35-39,5.2999999999999998
2006,OK,Abortion Rate,35-39,5.5
2007,OK,Abortion Rate,35-39,5.4000000000000004
2008,OK,Abortion Rate,35-39,6
2009,OK,Abortion Rate,35-39,4.9000000000000004
2010,OK,Abortion Rate,35-39,4.7999999999999998
2011,OK,Abortion Rate,35-39,4.5
2012,OK,Abortion Rate,35-39,4.2999999999999998
2013,OK,Abortion Rate,35-39,4.2000000000000002
2014,OK,Abortion Rate,35-39,3.6000000000000001
2015,OK,Abortion Rate,35-39,3.6000000000000001
2016,OK,Abortion Rate,35-39,3.5
1988,OR,Abortion Rate,35-39,7.9000000000000004
1992,OR,Abortion Rate,35-39,8.3000000000000007
1996,OR,Abortion Rate,35-39,8.3000000000000007
2000,OR,Abortion Rate,35-39,10.1
2005,OR,Abortion Rate,35-39,9.0999999999999996
2006,OR,Abortion Rate,35-39,8.9000000000000004
2007,OR,Abortion Rate,35-39,9.0999999999999996
2008,OR,Abortion Rate,35-39,8.6999999999999993
2009,OR,Abortion Rate,35-39,8.4000000000000004
2010,OR,Abortion Rate,35-39,7.5999999999999996
2011,OR,Abortion Rate,35-39,7.5
2012,OR,Abortion Rate,35-39,7.2000000000000002
2013,OR,Abortion Rate,35-39,6.5999999999999996
2014,OR,Abortion Rate,35-39,7
2015,OR,Abortion Rate,35-39,6.7999999999999998
2016,OR,Abortion Rate,35-39,7.4000000000000004
1988,PA,Abortion Rate,35-39,7
1992,PA,Abortion Rate,35-39,7.2999999999999998
1996,PA,Abortion Rate,35-39,7.2000000000000002
2000,PA,Abortion Rate,35-39,7.0999999999999996
2005,PA,Abortion Rate,35-39,8
2006,PA,Abortion Rate,35-39,8.1999999999999993
2007,PA,Abortion Rate,35-39,9
2008,PA,Abortion Rate,35-39,9.4000000000000004
2009,PA,Abortion Rate,35-39,9.1999999999999993
2010,PA,Abortion Rate,35-39,9.0999999999999996
2011,PA,Abortion Rate,35-39,9
2012,PA,Abortion Rate,35-39,8.1999999999999993
2013,PA,Abortion Rate,35-39,8.1999999999999993
2014,PA,Abortion Rate,35-39,8.5
2015,PA,Abortion Rate,35-39,8.5999999999999996
2016,PA,Abortion Rate,35-39,8.8000000000000007
1988,RI,Abortion Rate,35-39,8.5
1992,RI,Abortion Rate,35-39,11
1996,RI,Abortion Rate,35-39,10.699999999999999
2000,RI,Abortion Rate,35-39,9.8000000000000007
2005,RI,Abortion Rate,35-39,9.5
2006,RI,Abortion Rate,35-39,10.1
2007,RI,Abortion Rate,35-39,10.199999999999999
2008,RI,Abortion Rate,35-39,9.5
2009,RI,Abortion Rate,35-39,10.9
2010,RI,Abortion Rate,35-39,9.9000000000000004
2011,RI,Abortion Rate,35-39,10.1
2012,RI,Abortion Rate,35-39,9.1999999999999993
2013,RI,Abortion Rate,35-39,9.5999999999999996
2014,RI,Abortion Rate,35-39,10.5
2015,RI,Abortion Rate,35-39,11.300000000000001
2016,RI,Abortion Rate,35-39,10.6
1988,SC,Abortion Rate,35-39,6.2000000000000002
1992,SC,Abortion Rate,35-39,6.2999999999999998
1996,SC,Abortion Rate,35-39,6.2000000000000002
2000,SC,Abortion Rate,35-39,6.0999999999999996
2005,SC,Abortion Rate,35-39,7.7000000000000002
2006,SC,Abortion Rate,35-39,7.5999999999999996
2007,SC,Abortion Rate,35-39,7.7999999999999998
2008,SC,Abortion Rate,35-39,7.4000000000000004
2009,SC,Abortion Rate,35-39,6.9000000000000004
2010,SC,Abortion Rate,35-39,7.7000000000000002
2011,SC,Abortion Rate,35-39,6.9000000000000004
2012,SC,Abortion Rate,35-39,7.0999999999999996
2013,SC,Abortion Rate,35-39,6.9000000000000004
2014,SC,Abortion Rate,35-39,7.0999999999999996
2015,SC,Abortion Rate,35-39,6.9000000000000004
2016,SC,Abortion Rate,35-39,7.4000000000000004
1988,SD,Abortion Rate,35-39,3.2000000000000002
1992,SD,Abortion Rate,35-39,3.5
1996,SD,Abortion Rate,35-39,4
2000,SD,Abortion Rate,35-39,2.7000000000000002
2005,SD,Abortion Rate,35-39,3.7000000000000002
2006,SD,Abortion Rate,35-39,3.3999999999999999
2007,SD,Abortion Rate,35-39,3.2000000000000002
2008,SD,Abortion Rate,35-39,3.5
2009,SD,Abortion Rate,35-39,3.1000000000000001
2010,SD,Abortion Rate,35-39,2.5
2011,SD,Abortion Rate,35-39,3.2000000000000002
2012,SD,Abortion Rate,35-39,2.5
2013,SD,Abortion Rate,35-39,2.8999999999999999
2014,SD,Abortion Rate,35-39,4.0999999999999996
2015,SD,Abortion Rate,35-39,3.2999999999999998
2016,SD,Abortion Rate,35-39,2.7999999999999998
1988,TN,Abortion Rate,35-39,6.2000000000000002
1992,TN,Abortion Rate,35-39,5.9000000000000004
1996,TN,Abortion Rate,35-39,5.2000000000000002
2000,TN,Abortion Rate,35-39,5.5999999999999996
2005,TN,Abortion Rate,35-39,5.9000000000000004
2006,TN,Abortion Rate,35-39,6.7000000000000002
2007,TN,Abortion Rate,35-39,5.5999999999999996
2008,TN,Abortion Rate,35-39,6.0999999999999996
2009,TN,Abortion Rate,35-39,5.9000000000000004
2010,TN,Abortion Rate,35-39,5.5
2011,TN,Abortion Rate,35-39,5.7000000000000002
2012,TN,Abortion Rate,35-39,5.4000000000000004
2013,TN,Abortion Rate,35-39,5
2014,TN,Abortion Rate,35-39,5.5999999999999996
2015,TN,Abortion Rate,35-39,5.2999999999999998
2016,TN,Abortion Rate,35-39,4.9000000000000004
1988,TX,Abortion Rate,35-39,10
1992,TX,Abortion Rate,35-39,9.5999999999999996
1996,TX,Abortion Rate,35-39,8.4000000000000004
2000,TX,Abortion Rate,35-39,8.3000000000000007
2005,TX,Abortion Rate,35-39,9.0999999999999996
2006,TX,Abortion Rate,35-39,8.0999999999999996
2007,TX,Abortion Rate,35-39,8
2008,TX,Abortion Rate,35-39,7.9000000000000004
2009,TX,Abortion Rate,35-39,7.7999999999999998
2010,TX,Abortion Rate,35-39,7.7000000000000002
2011,TX,Abortion Rate,35-39,7.2999999999999998
2012,TX,Abortion Rate,35-39,7.0999999999999996
2013,TX,Abortion Rate,35-39,7.2000000000000002
2014,TX,Abortion Rate,35-39,5.9000000000000004
2015,TX,Abortion Rate,35-39,6
2016,TX,Abortion Rate,35-39,6
1973,US,Abortion Rate,35-39,7.2000000000000002
1974,US,Abortion Rate,35-39,8.5
1975,US,Abortion Rate,35-39,9
1976,US,Abortion Rate,35-39,9.5
1977,US,Abortion Rate,35-39,9.9000000000000004
1978,US,Abortion Rate,35-39,9.9000000000000004
1979,US,Abortion Rate,35-39,9.5
1980,US,Abortion Rate,35-39,9.4000000000000004
1981,US,Abortion Rate,35-39,9.5999999999999996
1982,US,Abortion Rate,35-39,9.4000000000000004
1983,US,Abortion Rate,35-39,9.6999999999999993
1984,US,Abortion Rate,35-39,9.6999999999999993
1985,US,Abortion Rate,35-39,9.8000000000000007
1986,US,Abortion Rate,35-39,9.8000000000000007
1987,US,Abortion Rate,35-39,10
1988,US,Abortion Rate,35-39,10.1
1989,US,Abortion Rate,35-39,10.199999999999999
1990,US,Abortion Rate,35-39,10.800000000000001
1991,US,Abortion Rate,35-39,10.5
1992,US,Abortion Rate,35-39,10.4
1993,US,Abortion Rate,35-39,10.199999999999999
1994,US,Abortion Rate,35-39,10
1995,US,Abortion Rate,35-39,9.8000000000000007
1996,US,Abortion Rate,35-39,9.8000000000000007
1997,US,Abortion Rate,35-39,9.5999999999999996
1998,US,Abortion Rate,35-39,9.5999999999999996
1999,US,Abortion Rate,35-39,9.6999999999999993
2000,US,Abortion Rate,35-39,9.8000000000000007
2001,US,Abortion Rate,35-39,9.6999999999999993
2002,US,Abortion Rate,35-39,9.8000000000000007
2003,US,Abortion Rate,35-39,9.9000000000000004
2004,US,Abortion Rate,35-39,9.9000000000000004
2005,US,Abortion Rate,35-39,10.1
2006,US,Abortion Rate,35-39,10.4
2007,US,Abortion Rate,35-39,10.199999999999999
2008,US,Abortion Rate,35-39,10.199999999999999
2009,US,Abortion Rate,35-39,9.9000000000000004
2010,US,Abortion Rate,35-39,9.6999999999999993
2011,US,Abortion Rate,35-39,9.5999999999999996
2012,US,Abortion Rate,35-39,9.4000000000000004
2013,US,Abortion Rate,35-39,9
2014,US,Abortion Rate,35-39,9
2015,US,Abortion Rate,35-39,8.9000000000000004
2016,US,Abortion Rate,35-39,8.6999999999999993
1988,UT,Abortion Rate,35-39,4.5999999999999996
1992,UT,Abortion Rate,35-39,4.2999999999999998
1996,UT,Abortion Rate,35-39,3.7999999999999998
2000,UT,Abortion Rate,35-39,3.7999999999999998
2005,UT,Abortion Rate,35-39,4.7000000000000002
2006,UT,Abortion Rate,35-39,4.0999999999999996
2007,UT,Abortion Rate,35-39,4.2000000000000002
2008,UT,Abortion Rate,35-39,4.2999999999999998
2009,UT,Abortion Rate,35-39,4.4000000000000004
2010,UT,Abortion Rate,35-39,3.8999999999999999
2011,UT,Abortion Rate,35-39,3.2000000000000002
2012,UT,Abortion Rate,35-39,3.7000000000000002
2013,UT,Abortion Rate,35-39,3.2000000000000002
2014,UT,Abortion Rate,35-39,3.2999999999999998
2015,UT,Abortion Rate,35-39,2.8999999999999999
2016,UT,Abortion Rate,35-39,3
1988,VT,Abortion Rate,35-39,7.5
1992,VT,Abortion Rate,35-39,7.4000000000000004
1996,VT,Abortion Rate,35-39,7.9000000000000004
2000,VT,Abortion Rate,35-39,5.5999999999999996
2005,VT,Abortion Rate,35-39,6.9000000000000004
2006,VT,Abortion Rate,35-39,7.5
2007,VT,Abortion Rate,35-39,7.0999999999999996
2008,VT,Abortion Rate,35-39,7.2000000000000002
2009,VT,Abortion Rate,35-39,7.2999999999999998
2010,VT,Abortion Rate,35-39,7.2000000000000002
2011,VT,Abortion Rate,35-39,7.4000000000000004
2012,VT,Abortion Rate,35-39,7.7999999999999998
2013,VT,Abortion Rate,35-39,9.6999999999999993
2014,VT,Abortion Rate,35-39,7.5999999999999996
2015,VT,Abortion Rate,35-39,7
2016,VT,Abortion Rate,35-39,5.7999999999999998
1988,VA,Abortion Rate,35-39,9.5
1992,VA,Abortion Rate,35-39,10.1
1996,VA,Abortion Rate,35-39,8.8000000000000007
2000,VA,Abortion Rate,35-39,9.1999999999999993
2005,VA,Abortion Rate,35-39,9.4000000000000004
2006,VA,Abortion Rate,35-39,10
2007,VA,Abortion Rate,35-39,10.4
2008,VA,Abortion Rate,35-39,10.5
2009,VA,Abortion Rate,35-39,10.699999999999999
2010,VA,Abortion Rate,35-39,10.699999999999999
2011,VA,Abortion Rate,35-39,10.6
2012,VA,Abortion Rate,35-39,10.9
2013,VA,Abortion Rate,35-39,11.1
2014,VA,Abortion Rate,35-39,9.6999999999999993
2015,VA,Abortion Rate,35-39,9
2016,VA,Abortion Rate,35-39,8.5999999999999996
1988,WA,Abortion Rate,35-39,10.300000000000001
1992,WA,Abortion Rate,35-39,11.4
1996,WA,Abortion Rate,35-39,9.8000000000000007
2000,WA,Abortion Rate,35-39,9.6999999999999993
2005,WA,Abortion Rate,35-39,9.3000000000000007
2006,WA,Abortion Rate,35-39,9.8000000000000007
2007,WA,Abortion Rate,35-39,9.4000000000000004
2008,WA,Abortion Rate,35-39,9.6999999999999993
2009,WA,Abortion Rate,35-39,9
2010,WA,Abortion Rate,35-39,9.0999999999999996
2011,WA,Abortion Rate,35-39,8.8000000000000007
2012,WA,Abortion Rate,35-39,8.4000000000000004
2013,WA,Abortion Rate,35-39,7.9000000000000004
2014,WA,Abortion Rate,35-39,8.5
2015,WA,Abortion Rate,35-39,8.5
2016,WA,Abortion Rate,35-39,7.5999999999999996
1988,WV,Abortion Rate,35-39,3.6000000000000001
1992,WV,Abortion Rate,35-39,4.0999999999999996
1996,WV,Abortion Rate,35-39,3
2000,WV,Abortion Rate,35-39,3.2999999999999998
2005,WV,Abortion Rate,35-39,3.2000000000000002
2006,WV,Abortion Rate,35-39,4
2007,WV,Abortion Rate,35-39,4.0999999999999996
2008,WV,Abortion Rate,35-39,4.0999999999999996
2009,WV,Abortion Rate,35-39,3.7999999999999998
2010,WV,Abortion Rate,35-39,4.7000000000000002
2011,WV,Abortion Rate,35-39,5.2000000000000002
2012,WV,Abortion Rate,35-39,4
2013,WV,Abortion Rate,35-39,3.6000000000000001
2014,WV,Abortion Rate,35-39,4.5
2015,WV,Abortion Rate,35-39,4
2016,WV,Abortion Rate,35-39,3.8999999999999999
1988,WI,Abortion Rate,35-39,5.2999999999999998
1992,WI,Abortion Rate,35-39,5.2000000000000002
1996,WI,Abortion Rate,35-39,5.4000000000000004
2000,WI,Abortion Rate,35-39,5.0999999999999996
2005,WI,Abortion Rate,35-39,4.7999999999999998
2006,WI,Abortion Rate,35-39,4.5999999999999996
2007,WI,Abortion Rate,35-39,4.9000000000000004
2008,WI,Abortion Rate,35-39,4.7999999999999998
2009,WI,Abortion Rate,35-39,4.0999999999999996
2010,WI,Abortion Rate,35-39,4.9000000000000004
2011,WI,Abortion Rate,35-39,4.4000000000000004
2012,WI,Abortion Rate,35-39,4.5
2013,WI,Abortion Rate,35-39,4.2000000000000002
2014,WI,Abortion Rate,35-39,4
2015,WI,Abortion Rate,35-39,3.7999999999999998
2016,WI,Abortion Rate,35-39,4.2000000000000002
1988,WY,Abortion Rate,35-39,6.7000000000000002
1992,WY,Abortion Rate,35-39,6.9000000000000004
1996,WY,Abortion Rate,35-39,9.9000000000000004
2000,WY,Abortion Rate,35-39,13.699999999999999
2005,WY,Abortion Rate,35-39,7.2999999999999998
2006,WY,Abortion Rate,35-39,7
2007,WY,Abortion Rate,35-39,6.2999999999999998
2008,WY,Abortion Rate,35-39,5.7999999999999998
2009,WY,Abortion Rate,35-39,5.5999999999999996
2010,WY,Abortion Rate,35-39,5.5999999999999996
2011,WY,Abortion Rate,35-39,5.5999999999999996
2012,WY,Abortion Rate,35-39,5
2013,WY,Abortion Rate,35-39,4.4000000000000004
2014,WY,Abortion Rate,35-39,4.9000000000000004
2015,WY,Abortion Rate,35-39,4.7999999999999998
2016,WY,Abortion Rate,35-39,4.2000000000000002
1988,AL,Abortion Rate,25-29,25.399999999999999
1992,AL,Abortion Rate,25-29,22.5
1996,AL,Abortion Rate,25-29,19.699999999999999
2000,AL,Abortion Rate,25-29,20.300000000000001
2005,AL,Abortion Rate,25-29,16.899999999999999
2006,AL,Abortion Rate,25-29,17.100000000000001
2007,AL,Abortion Rate,25-29,17.600000000000001
2008,AL,Abortion Rate,25-29,17.5
2009,AL,Abortion Rate,25-29,16.300000000000001
2010,AL,Abortion Rate,25-29,16
2011,AL,Abortion Rate,25-29,15.199999999999999
2012,AL,Abortion Rate,25-29,14.199999999999999
2013,AL,Abortion Rate,25-29,13.5
2014,AL,Abortion Rate,25-29,13.699999999999999
2015,AL,Abortion Rate,25-29,13.5
2016,AL,Abortion Rate,25-29,13.699999999999999
1988,AK,Abortion Rate,25-29,25.199999999999999
1992,AK,Abortion Rate,25-29,25.399999999999999
1996,AK,Abortion Rate,25-29,27.199999999999999
2000,AK,Abortion Rate,25-29,21.100000000000001
2005,AK,Abortion Rate,25-29,21.199999999999999
2006,AK,Abortion Rate,25-29,21.5
2007,AK,Abortion Rate,25-29,19.699999999999999
2008,AK,Abortion Rate,25-29,19.199999999999999
2009,AK,Abortion Rate,25-29,20.300000000000001
2010,AK,Abortion Rate,25-29,18.600000000000001
2011,AK,Abortion Rate,25-29,18.300000000000001
2012,AK,Abortion Rate,25-29,17
2013,AK,Abortion Rate,25-29,17
2014,AK,Abortion Rate,25-29,15.5
2015,AK,Abortion Rate,25-29,14.6
2016,AK,Abortion Rate,25-29,14
1988,AZ,Abortion Rate,25-29,33.100000000000001
1992,AZ,Abortion Rate,25-29,31.199999999999999
1996,AZ,Abortion Rate,25-29,27.100000000000001
2000,AZ,Abortion Rate,25-29,22.300000000000001
2005,AZ,Abortion Rate,25-29,21.399999999999999
2006,AZ,Abortion Rate,25-29,19.100000000000001
2007,AZ,Abortion Rate,25-29,18.899999999999999
2008,AZ,Abortion Rate,25-29,20.699999999999999
2009,AZ,Abortion Rate,25-29,19.399999999999999
2010,AZ,Abortion Rate,25-29,17
2011,AZ,Abortion Rate,25-29,19.199999999999999
2012,AZ,Abortion Rate,25-29,17.699999999999999
2013,AZ,Abortion Rate,25-29,16.5
2014,AZ,Abortion Rate,25-29,15.9
2015,AZ,Abortion Rate,25-29,16
2016,AZ,Abortion Rate,25-29,16.399999999999999
1988,AR,Abortion Rate,25-29,15.9
1992,AR,Abortion Rate,25-29,18.699999999999999
1996,AR,Abortion Rate,25-29,16.300000000000001
2000,AR,Abortion Rate,25-29,15.4
2005,AR,Abortion Rate,25-29,12.800000000000001
2006,AR,Abortion Rate,25-29,13.4
2007,AR,Abortion Rate,25-29,13.5
2008,AR,Abortion Rate,25-29,13.9
2009,AR,Abortion Rate,25-29,14.5
2010,AR,Abortion Rate,25-29,13.699999999999999
2011,AR,Abortion Rate,25-29,13.5
2012,AR,Abortion Rate,25-29,12.199999999999999
2013,AR,Abortion Rate,25-29,13.300000000000001
2014,AR,Abortion Rate,25-29,12.199999999999999
2015,AR,Abortion Rate,25-29,10.6
2016,AR,Abortion Rate,25-29,9.6999999999999993
1988,CA,Abortion Rate,25-29,52.299999999999997
1992,CA,Abortion Rate,25-29,49.100000000000001
1996,CA,Abortion Rate,25-29,43.100000000000001
2000,CA,Abortion Rate,25-29,43.799999999999997
2005,CA,Abortion Rate,25-29,38.299999999999997
2006,CA,Abortion Rate,25-29,39.5
2007,CA,Abortion Rate,25-29,40.600000000000001
2008,CA,Abortion Rate,25-29,38.799999999999997
2009,CA,Abortion Rate,25-29,36.700000000000003
2010,CA,Abortion Rate,25-29,34.700000000000003
2011,CA,Abortion Rate,25-29,32.700000000000003
2012,CA,Abortion Rate,25-29,31.899999999999999
2013,CA,Abortion Rate,25-29,30.800000000000001
2014,CA,Abortion Rate,25-29,29.800000000000001
2015,CA,Abortion Rate,25-29,28.399999999999999
2016,CA,Abortion Rate,25-29,26.800000000000001
1988,CO,Abortion Rate,25-29,24.899999999999999
1992,CO,Abortion Rate,25-29,26.899999999999999
1996,CO,Abortion Rate,25-29,23.699999999999999
2000,CO,Abortion Rate,25-29,16.300000000000001
2005,CO,Abortion Rate,25-29,19.699999999999999
2006,CO,Abortion Rate,25-29,20
2007,CO,Abortion Rate,25-29,20.300000000000001
2008,CO,Abortion Rate,25-29,19.199999999999999
2009,CO,Abortion Rate,25-29,18.899999999999999
2010,CO,Abortion Rate,25-29,18.300000000000001
2011,CO,Abortion Rate,25-29,17.899999999999999
2012,CO,Abortion Rate,25-29,16.5
2013,CO,Abortion Rate,25-29,16.300000000000001
2014,CO,Abortion Rate,25-29,16.399999999999999
2015,CO,Abortion Rate,25-29,15.9
2016,CO,Abortion Rate,25-29,15.1
1988,CT,Abortion Rate,25-29,36.399999999999999
1992,CT,Abortion Rate,25-29,33.200000000000003
1996,CT,Abortion Rate,25-29,32.100000000000001
2000,CT,Abortion Rate,25-29,33
2005,CT,Abortion Rate,25-29,41.299999999999997
2006,CT,Abortion Rate,25-29,40.799999999999997
2007,CT,Abortion Rate,25-29,41.299999999999997
2008,CT,Abortion Rate,25-29,38.5
2009,CT,Abortion Rate,25-29,36.700000000000003
2010,CT,Abortion Rate,25-29,36
2011,CT,Abortion Rate,25-29,34.5
2012,CT,Abortion Rate,25-29,33.200000000000003
2013,CT,Abortion Rate,25-29,33.100000000000001
2014,CT,Abortion Rate,25-29,33
2015,CT,Abortion Rate,25-29,34.200000000000003
2016,CT,Abortion Rate,25-29,33.100000000000001
1988,DE,Abortion Rate,25-29,31.600000000000001
1992,DE,Abortion Rate,25-29,35.399999999999999
1996,DE,Abortion Rate,25-29,23.699999999999999
2000,DE,Abortion Rate,25-29,33.5
2005,DE,Abortion Rate,25-29,33.200000000000003
2006,DE,Abortion Rate,25-29,41.299999999999997
2007,DE,Abortion Rate,25-29,45.799999999999997
